id,essay,prompt,formal_register,thematic_coherence,narrative_rhetorical_structure,cohesion
275,"[T] A jovem ARTISTA
[P] CerTo dia uma menina chamada Elisa esTava bebendo Água na
cozinha ATe que ela ReParou potes de TinTas coloridas encima do Armario
então ela Teve uma ideia que Tal Fazer uma pinTura naquela Parede
Branca do meu quarto ela Resolveu pintar varios Animais. PaTo, cachorro, 
PaTo, gaTo, peixes.
[P] A menina Achou que o cheiro esTava muiTo ForTe enTaõ [?]
[?] ver ser A TinTa depois de Alguns insTanTes depois de beber Água
mas surpriendenTimenTe ela Ficou pasma ao ver que sua Havia
sumido A menina Ficou TrisTe pois ela Havia demorando 48 Horas
Para Fazer mas ela não desisTiu do seu sonho de ser uma ArTisTa
no outro dia.
[P] EnTaõ ela Teve outra ideia Para saber o que esTava aconTecendo-
cerTo dia ela pegou o ResTo da TinTas quaches é pinTou um jardim com
muiTas Flores é um lindo lago em outra Parede branca é esperou
Ate que não Aguentou é acabou dormindo no outro dia
[P] Viu que a PinTura Havia sumido novamente
Ate que no outro dia ela resolveu colocar uma camera escondida
é novamente ela Fez uma PinTura e Foi dormir com seu Pais no outrodia...
no outro dia retirou a camera e viu o que estava Acontecendo
[P] É que um Planeta quente esTava pasando é Porque as TinTas
não eram permanenTes Facil.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,5,3
771,"[T] Pinturas vivas 
[P] Em um dia eu e Leticia estavamos entediado 
então decidimos fazer algumas pinturas de animais 
depois de pintar fomos lanchar quando voltamos 
não tinha pintura nenhuma e as nosas roupas estava 
tudo no chão juntamos as roupas e fomos investigar 
[P] Finalmente achamos tava todos na rua comendo 
assustando todos então Leticia teve uma ideia 
ela falou — ja sei vamos la em casa pegar mais 
tinta vem. Chegando la Leticia pegou um balde de tinta 
branca e falou — [?]ora agente pega eles. Mas quando 
chegamos la os lixos tinham sumido fomos procur[X] 
e nada quando agente pasando perto do 
zoologico achamos eles e foi a maior bagunça dentro 
do zologico era bixo pra lá eu pra ca um entrou 
na jaula do leão e ficou preso depois achamos outro 
saindo do zologico e fomos atras ate que agente cerca 
eles e tacamos a tinta branca neles mas pegou 
na metade do quando ele fugio passou um carro e 
derrubou um pano emcima do bixo então eu tirei o pano 
e a Letícia jogou a tinta pegou em cheio e ele sumio o terceiro 
bra o mais difícil por que ele voava ui ficamos em 
baixo dele ate ele descer ate que uma hora ele desceu. 
[P] Ai ele parou do lado de uma gaiola então pegamos 
a gaiola e pa pegamos ele então levamos para casa 
e ai ficamos com ele la em casa hoje em dia o nome 
dele e . Theo Theodoro e depois desse dia ele viveu com 
agente.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,5,3
1135,"[T][LT]A PALETA DE CORES
[LT]CERTO DIA EU ESTAVA NA CASA DA MINHA TIA ANDANDO DE
[LT]BICICLETA COM MEU PRIMO ISMAEL, COM UM TEMPO RESOLVEMOS
[LT]IR PRA DENTRO, ATÉ QUE MINHA PRIMA KELLY E MINHA TIA
[LT]ROSEMEIRE CHEGARAM E NOS DERAM UMA CAIXA DE TINTA.
[LT]NESSA CAIXA HAVIA 12 CORES DE TINTA, BRILHANTES E FORTES.
[LT]AS CORES ERAM: AZUL, AZUL ESCURO VERDE, VERDE ESCURO,
[LT]MARROM, PRETO, BRANCO, NUDE, AMARELO, LARANJA, VERMELHO E
[LT]ROSA. NÓS PEGAMOS FOLHAS, E.V.A, COLA, PINCEIS DE TINTA
[LT]E COMEÇAMOS A DESENHAR. EU DESENHEI UMA PAISAGEM,
[LT]MINHA FAMÍLIA E UMA BORBOLETA. MEU PRIMO DESENHOU
[LT]UMA RUA, CARROS, ÔNIBUS, MOTOS E BICICLETAS. SÓ QUE
[LT]SEM QUERER MEU PRIMO DERRAMOU A TINHA AZUL NA
[LT]TOALHA DE MESA DA MINHA TIA QUE NÃO DEIXOU MAIS
[LT]O MEU PRIMO PINTAR. MINHA MÃE ME CHAMOU
[LT]PARA TOMAR BANHO. EU FUI E DEPOIS CONTINUEI A PINTAR.
[LT]E JÁ ERA DE NOITE, ATÉ QUE, DE REPENTE COMEÇOU
[LT]A CHOVER... EU E MEU PRIMO ISMAEL CORREMOS E
[LT]FOMOS TOMAR BANHO DE CHUVA. UNS 10 MINUTOS DEPOIS
[LT]A CHUVA PAROU E NÓS FOMOS NOS SECAR, NOS SECAMOS
[LT]E FFOMOS TOMAR UM CHOCOLATE QUENTE ASSISTINDO TV
[LT]E NOS DORMIMOS NO SOFÁ MESMO. QUANDO MINHA TIA E
[LT]MINHA MÃE PERCEBERAM NOS ACORDARAM E NOS
[LT]MANDARAM PARA OS QUARTOS.. NO DIA SEGUINTE,
[LT]NÓS ACORDAMOS BEM CEDINHO E FOMOS PARA O AÇUDE.
[LT]CHEGAMOS LÁ AS 07:30 E VOLTAMOS PARA CASA AS 10:30, DAÍ
[LT]FOMOS VER UM FILME, A NOITE JANTAMOS E AS 21:00h
[LT]FOMOS DORMIR POIS NO DIA SEGUINTE EU E A
[LT]MINHA MÃE VOLTARIAMOS PRA CASA.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,5,3
415,"[T] Ana e as tintas
[P] Eu encontrei em cima do armário alguns
potes com tinta. Então chamei a Kauany  minha
amiga para desenhar, ums amimais na parede do
quarto, a Kauan, falou vá lá onde, tá sua
mãe e peça se nos pode pintar, seu quarto. Mãe!
oi filha! Eu e a Kauany pode pintar meu
quarto, lá nas paredes ? Claro, que voçê pode 
pintar, minha filha. Vai ser você e sua
amiga a Kauany ?
[P] sim mãe, tome os pincel para você
divertir com sua amiga.
[P] mãe, muito , obrigada. Mãe eu vou lá onde 
estar a Kauany tchau. 
No seu quarto, há oi Kauany oi Ana!! que
medo que eu levei, minha mãe deixou nos duas 
que legal ela Deixou Desenhar na parede 
vamos pro seu quarto Ana, vamos termimamos 
Ana! minha mãe ta chamando eu pode ir 
Ana oi mãe filha vamos viajar ok mãe 
vou falar para Kauany, Kauany eu vou
viajar ok Ana Depois de 2 anos voltei
pra casa com minha familia quando chegou
em casa eu tava ansiosa Para ver meu
quarto quando entrei no quarto as roupas
tava no chão tinha coisas quebrada eu 
procurei não tinha nada ai eu vi uns ani-
mais eu falei pra minha mãe ela teve uma 
ideia de ter animais em casa ela falou 
Pro meu pai ele adorou a ideia de ter animais 
meu irmão também gostou da ideia.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
478,"[T] Brincando na Praia
[P] Um dia ensolarado.
eu [?] na praia junto com o meu pai . 
—meu Pai Disse: Vamos centar na quele Banco.
—  eu disse: [?] mas antes Vamos comprar sorvete.
— meu Paí Disse: Tá. dai fomos chutar bola
— eu Disse: eu sou o goleiro e Vocé  chuta tabom.
dai começamos a chutar . Meu Pai Disse: Chega Já Estou
cansado Vamos para casa. Chegamos em casa la minha 
Vó esta na minha casa fazendo Bolo com a minha
Mãe Dai fui tomar Banho Para Jantar . dai fui
tomar Banho quando Estava Tomando , Meu Pai disse: anda
eu quero tomar Banho. dai terminei de tomar Banho e fui
Jantar. [X] [X] comi mas eu queria Brincar mais dai
Chamei minha mãe . minha mãe falou: taVamos
eu falei: Vamos Brincar de Esconde - Esconde. depois.
minha mãe falo: Vamos Parar Já chega Vamos 
dormir.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",4,1,3,4
609,"[T] O ascohen
Eu encontrei en cima do asmárío auguns
[P] potes com tinta então resolvi pintar na parede do donle
[X] quando o arcoiren, e vicou Bonito e o Meu pais a craro
[X]
e fiquei pécei que Eu tava No muto reascolhem
e a caBoua estorea e tomin e tomín e virui sonetan
Ascohen quato a corli viluei le sato e ascohen
não papai [X] de slesa de ascohen e um oia viludi
ne ã pesei ahcohen e quaBo vuela meu quanto
[X] [X] [X] [X] [X] vi o mia a polede, viluli pe satoea
scohen i un Dia mia melvalou que mais iai se muno
[P] e viluei muito trite e No utemo dia na mia
[P] casa vilei o laDo para parede na Nova casa
Poi que o meu quarto ascohen","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",1,1,1,1
168,"[P] um priquedo estragado sera um [?]
eu [X] neu priquedo estragado eu pergu tei meu pai e ela [X] muito

lnpogado con o togo do [X] e ele dise que não viu en tanu perqu Tei
[LT] a minha mãe e ela não sabe e en Tanu pergu
[LT] [P] Tei a ninha irmã e minha dise que foi ela en tanu falei
[P] para ninha [X] e ninha mãe foi na logia e conprou o Tro prenque do
e ninha irmã nipidiu discupa e eu discupei ela fim de historia

poena do Luciano","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,1,4,2
332,"[T] A menina que dezenho na parede
Era uma tarde de Sabado quando vio assa roupas
no chão e coreu para avisar o [X] pai quando
xegou nem comtrou assa roupas no [X] e seu pai mandou
chamar a sua mãe e sua [X] vinho corendo e diu
o quefoi e à menina dice e éla dice apag [X] [X]
daparede fica cauma fui eu que [X]
eu estava arumando [X]
e você apagou o meu [X]
da casa mais mãe [?] [X]","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,1,3,2
933,"[T] o desenho perfeito
[P] um certo dia Julia teve uma idei de desenhar [X]
animais então pegou uma folha, uma caneta preta, um lápis
normal, tinta guache e alguns lápis de cor e depois começou
a desenhar uma zebra, um elefante, um cavalo, uma tartaruga,
uma cobra, um sapo, um leão, uma onça pintada e um camelo
e depois com tudo desenhado Julia foi pintar.
[P] Julia estava amando fazer aquele desenho ela estava
fazendo tudo com muito amor e carinho depois que ela pintou 
tudo ela foi dar nomes para os animais
[P] A zebra de= listrada, o elefante= bobi, o cavalo de= chocolate
a tartaruga de= verdinha a cobra de= bibi e sapo de= verdinho o
leão de= rei a onça pintada de= bolinha e o camelo de= cara-
melo depois que ele nomeou os animais ela chamou o desenho
de o desenho de o desenho perfeito.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,2,4,3
490,"[T] De Baixo da árvore espalhadas!
[P] Em um belo dia eu fui passiar com minha primadentrode um parque...
agente sento em baixo de uma árvore e la de cima caiu um pedaço de vidroquando eu e
minha prima olhamos pracima não tinha nada agente se levantou e olhamos pra tras
tinha um espelho ele puxo agente pradentroagentecaiu no chão olhamos pros lados e...
vimos todas as paredes de espelho ecada um deixo agente uma forma  diferente
minha prima foi ate um espelho e nesse espelho fazia a pessoa fica larga eu é a
fui atras dela eagente começo a rir essas paredes eram muito legais mais
Com nossas risadas o dono da casa apareceu eu perguntei se a casa
eradele? ele disse que não era uma casa e sim uma fabrica mas sim
era dele.
Eu e minha prima acordamos na praça ela ja estava trancada porque
a praça fecha 17:00 e ja eram 18:10 agente teve que pular o
portão.
E pra quem ta se perguntando sim o espelho sumiu.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,4,3
906,"[T] as tintas
[LT] Eu encontrei na minha casa alguas tintas
[LT] então resolvi Pintar meu quarto. Pintei duas
[LT] Parede e deixei secar mas quando voltei todas
as minhas roupas estavam no chão fiquei
muito asustada é não sabia o que fazer
chamei minha mãe e ela me ajudou. tirou
minhas roupas do chão. e falou filha vou té
ajudar a Pintas as outras duas Paredes
falei obrigado mãe é depois fiquei Pensando
quem foi que fez aquilo. então Passarans algus
dias e descobri quem tinha espalhado as minhas
roupas foi a ana minha Prima mas a gente
[LT] conversou e ficou tudo bem entre nois. fim do
texto.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,3,4,3
1073,"[T]Eu e meu amigo aventureiros
[P]Era um, belo dia eu e amigo chamado Miguel, estavamos
brincando no parque quando o Miguel gritou bem alto para
mim então eu fui correndo ver o que era ai então - ele disse
veja isso, Alan, eu olgo bem e exerguei uma chave muito misteriosa
então eu - disse que chave legal o Miguel então me -disse vamos
investigar da onde essa chave. Eu - disse é claro então nóis
dois perguntamos para um velhinho que controu para
nóis dois que aquela chave perteceu a um pirata
chamado barba branca um pirata muito temido pelos
sete mares mais ele acabou morrendo em alto mar
batendo o seu barco em vária rochas mais do barco
dele naufragar ele enterrou o seu baú de tesouro numa
ilha que agora e uma cidade e onde fica o parque da
crianças então e o Miguel procuramos o baú no
em vários cantos da praçinha até que o Miguel achou
algo suspeito então nois cavamos até que nois achamos
o baú do pirata barba branca era muito pesado
então nos chamamos os adultos para nos ajudar
a puscar o baú que era muito pesado mais depois, de
ter puscado o baú nóis pegamos a chave e nóis abri-
mos o baú que estava cheio de ouro mais nos ligamos
logo para o nauseu eles agradeceram nóis dos por desco-
brido algo muito incrível.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,1,4,3
128,"[?] tomar um Banho depois venha [?]
 o que aconteceu Bom quando eu sai do Banho minha mãe [?]
meu quarto e Perguntou o que e isso minha filha
no chão [?] assim eu achei [?]
encima do armario ai peguei para fazer umas pintura
na parede so que então esperei secar quando voltei no [?]
quarto não estava mais la mas fiquei com uma [?]","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,2,2,2
107,"Rian
[T]-a bagunsa misterioz eas tintas lendarias
um certo dia eu vi minha mãe guardamdo muitas tintas
no armario como eu çou muito bagunseiro eu fui la no armario eu [x] pegei as
tintas pitei as paredes de muito [x] animais araras gatos e cachorros e lobo bem fofo 
leãoes tigres de bengala urços é urços polares macacos gurilas uramgotamgos
tartarugas iguanas camaleãoes caracous elefantes as [x] paredes estavam cheias 
de animais fofos é depois de horas eu fui brincar depois de uma hora bringuei tanto
eu camsei a minha amiga alise eu fui para casa e gritei AAAAAAAAAA! estava tudo
bagumçado minha mãe veio muito rapido ver ogue acomtesel minha mãe
[x] vio tudo agilo ela dise - ogue ouvi [x] agui esta tudo bagunsado
eu dise-eu tambem não sei [x] mas tinha uma suspeita a minha
cachorinha lili gue era muito pagunsera mais [x] ela não poderia limpar as
paredes depois de ums dias mais então um ela midise de umas tintas
çuper legais gue vendi la longe da região gue eu morava então peguei o meu
dinheiro e fui com a minha bisicleta minha nãe deixou eu ir eu [x] tinha 63
reais gue eu juntei por muito tempo demorou 4 horas para chegar no meio do
caminho eu acho gue a minha mãe estava preucupada com migo ai eu
lenbrei gue meu pai dinha um caro gue dava pamin levar para eu xegar la finalm-
ente eu chegei eu lenpre gue eu estava com o selular comprei as tintas elas eram
lindas meus olhos prilhavam com aguelas cores maravilhozas guando meu
pai chegou ate ele gotol daguilo ele falou eu deveria [x] pintar as paredes
mais vou deixar com você","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",2,3,4,3
1136,"[T][S] As tintas que sumiram.
[P] Certo dia estava Eu e meu primo brincando até uma hora
agente decidiu entrar para jogar VIDEO GAME. Quando agente
entrou agente achamos baldes de tintas decidimos pintar o
quarto fomos buscar o rolo para passar no alto aonde
agente não alcansava quando agente voltou os [X] de
tintas não estavá mais la e as roupas estavá no
chão eu e meu primo foi juntar quando acabamos
de juntar agente foi la fora tentou achar uma pista
e agente viu que era nosso tio Pablo pintando a
parede de fora eu e meu primo vitor nos pedimos para
ajudar mas ele deixou mas nos falamos sobre as
roupas e ele falou que foi minha tia Ana caçando o
relogio que meu primo pegou e sumiu","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",3,2,3,2
